"Company ID","Company Name","Branch ID","Street Address","City","State","Country","Postal Code","Contact Name","Contact Phone Number","Contact Email","License Number","License Name"
2280,"21St Mortgage Corporation",,"620 Market Street ","Knoxville","TN","USA",37902,"Rachel Cupp","865-523-2120 x1204","rachelcupp@21stmortgage.com","DC2280","MA Debt Collector"
934928,"A.R.C. Accounts Recovery (U.S.A.) Corporation Llc",,"A400-2261 Keating Cross Road ","Saanichton",,"BCC","V8M 2A5","Gregory Carter","866-427-3658 4001","gregory.carter@aro.ca","DC0830","MA Debt Collector"
937594,"A.R.M. Solutions, Inc.",,"3760 Calle Tecate, Suite E ","Camarillo","CA","USA",93012,"Mellissa Sinutko","888-772-6468x526","compliance@armsolutions.com","DC937594","MA Debt Collector"
1033955,"Ability Recovery Services, Llc",,"284 Main Street ","Dupont","PA","USA",18641,"Sharon Behnke","570-207-1892","seinhorn@ars-llc.biz","DC1033955","MA Debt Collector"
952162,"Accenture Solutions Private Limited",,"Plant 3, Godrej & Boyce Complex Lbs Marg, Vikhroli (West)","Mumbai",,"IND",400079,"Emma Burrows","312-693-5955","regulatory.licenses@accenture.com","DC1131","MA Debt Collector"
952162,"Accenture Solutions Private Limited",1608592,"4Th Floor, Tower Ii Of Phase Ii, Logitech Park Andheri Kurla Road, Andheri (East)","Mumbai",,"IND",400072,"Emma Burrows","312-693-5955","regulatory.licenses@accenture.com","DC952162","MA Debt Collector"
907337,"Account Control Technology, Inc.",,"21700 Oxnard St. Suite 1400","Woodland Hills","CA","USA",91367,"Charles Gregory","(631)719-5509","licensing@acumensolutionsgroupllc.com","DC0695","MA Debt Collector"
907337,"Account Control Technology, Inc.",921866,"5300 Kings Island Drive ","Mason","OH","USA",45040,"Charles Gregory","(631)719-5509","licensing@acumensolutionsgroupllc.com","DC907337","MA Debt Collector"
907337,"Account Control Technology, Inc.",941764,"5531 Business Park South ","Bakersfield","CA","USA",93309,"Charles Gregory","(631)719-5509","licensing@acumensolutionsgroupllc.com","DC111125-101","MA Debt Collector"
907337,"Account Control Technology, Inc.",941811,"2905 Sherwood Way ","San Angelo","TX","USA",76907,"Charles Gregory","(631)719-5509","licensing@acumensolutionsgroupllc.com","DC111125-102","MA Debt Collector"
907337,"Account Control Technology, Inc.",1151864,"11830 Webb Chapel Rd ","Dallas","TX","USA",75234,"Charles Gregory","(631)719-5509","licensing@acumensolutionsgroupllc.com","DC907337","MA Debt Collector"
937608,"Account Discovery Systems, Llc",,"11 Pinchot Court Suite 110","Amherst","NY","USA",14228,"Mary Ann Prawal","716-504-6800","ellie@accountdiscoverysystems.com","DC937608","MA Debt Collector"
936497,"Account Resolution Group, Llc",,"4705 New Horizon Blvd., Ste 7 ","Bakersfield","CA","USA","93313-2369","Sam Shawwa","661-832-4274","sshawwa@argcollect.com","DC112038-100","MA Debt Collector"
922861,"Accounts Receivable Automated Solutions Inc.",,"140 University Park ","Troy","AL","USA",36081,"Kerry Brayton","678-740-0485","plyons@cornerstonesupport.com","DC112066-100","MA Debt Collector"
934276,"Accounts Receivable Technologies Inc.",,"377 Hoes Lane, Suite 260","Piscataway","NJ","USA",8854,"Rajesh Chhabria","732-305-8301","grathaur@artechonline.com","DC112045-100","MA Debt Collector"
1127988,"Acquired Assets, Ltd",,"147 Willis Avenue ","Mineola","NY","USA",11501,"Susan Feldman","516-746-1040","sfeldman@allencollects.com","DC1127988","MA Debt Collector"
931957,"Action Collection Agencies, Inc.",,"16 Commerce Blvd. Unit 4","Middleboro","MA","USA",23460,"Jay Gonsalves","508-923-0310x112","jeg@actioncollection.com","DC0012","MA Debt Collector"
